index,name,latitude,longitude,cost,day,stop
0,Home_Base,40.578206,-105.062854,0,0,0
1,WPC-1B,39.397959,-104.953777,120,1,4
2,WPC-1A,39.370812,-104.962525,110,1,3
3,WPC-2B,39.368597,-104.967356,100,1,2
4,WPC-2A,39.351722,-104.975558,105,2,4
5,WPC-3C,39.347224,-104.970917,115,3,4
6,WPC-3B,39.325238,-104.973049,90,6,2
7,WPC-4A,39.293638,-104.974406,95,5,2
8,WPC-4B,39.306388,-104.973775,125,5,4
9,WPC-5B,39.279866,-104.964104,100,6,4
10,WPC-5D,39.241694,-104.957437,125,6,3
11,WPC-6B,39.230261,-104.964373,120,4,4
12,GBC-1D,39.371492,-104.97973,135,7,2
13,GBC-1C,39.369764,-104.993499,85,7,3
14,GBC-1B,39.357444,-105.023481,60,7,4
15,JC-1A,39.35074,-104.975442,80,2,3
16,JC-1C,39.345577,-104.981026,115,3,3
17,JC-1D,39.345721,-104.994802,120,3,2
18,BC-1C,39.290844,-104.973074,95,5,3
19,BC-1B,39.272048,-104.977568,85,4,2
20,GVC-1C,39.21668,-104.960314,110,4,3
